Epoch: 0 | Training Loss: 2392344.4976 | Validation Loss: 1.6224 | Test Loss: 1.6222
Epoch: 1 | Training Loss: 0.9506 | Validation Loss: 0.9385 | Test Loss: 0.9425
Epoch: 2 | Training Loss: 0.9290 | Validation Loss: 0.9311 | Test Loss: 0.9344
Epoch: 3 | Training Loss: 0.9199 | Validation Loss: 0.9242 | Test Loss: 0.9276
Epoch: 4 | Training Loss: 0.9140 | Validation Loss: 0.9208 | Test Loss: 0.9247
Epoch: 5 | Training Loss: 0.9104 | Validation Loss: 0.9183 | Test Loss: 0.9220
Epoch: 6 | Training Loss: 0.9081 | Validation Loss: 0.9172 | Test Loss: 0.9211
Epoch: 7 | Training Loss: 0.9063 | Validation Loss: 0.9161 | Test Loss: 0.9198
Epoch: 8 | Training Loss: 0.9049 | Validation Loss: 0.9161 | Test Loss: 0.9197
Epoch: 9 | Training Loss: 0.9038 | Validation Loss: 0.9153 | Test Loss: 0.9192
Epoch: 10 | Training Loss: 0.9029 | Validation Loss: 0.9150 | Test Loss: 0.9188
Epoch: 11 | Training Loss: 0.9020 | Validation Loss: 0.9145 | Test Loss: 0.9184
Epoch: 12 | Training Loss: 0.9013 | Validation Loss: 0.9148 | Test Loss: 0.9185
Epoch: 13 | Training Loss: 0.9006 | Validation Loss: 0.9146 | Test Loss: 0.9182
Epoch: 14 | Training Loss: 0.9000 | Validation Loss: 0.9146 | Test Loss: 0.9185
Epoch: 15 | Training Loss: 0.8993 | Validation Loss: 0.9145 | Test Loss: 0.9183
Epoch: 16 | Training Loss: 0.8987 | Validation Loss: 0.9143 | Test Loss: 0.9184
Epoch: 17 | Training Loss: 0.8982 | Validation Loss: 0.9149 | Test Loss: 0.9186
Epoch: 18 | Training Loss: 0.8976 | Validation Loss: 0.9149 | Test Loss: 0.9188
Epoch: 19 | Training Loss: 0.8971 | Validation Loss: 0.9151 | Test Loss: 0.9187
Epoch: 20 | Training Loss: 0.8967 | Validation Loss: 0.9145 | Test Loss: 0.9181
Epoch: 21 | Training Loss: 0.8962 | Validation Loss: 0.9153 | Test Loss: 0.9194
Epoch: 22 | Training Loss: 0.8958 | Validation Loss: 0.9151 | Test Loss: 0.9190
Epoch: 23 | Training Loss: 0.8955 | Validation Loss: 0.9144 | Test Loss: 0.9184
Epoch: 24 | Training Loss: 0.8950 | Validation Loss: 0.9151 | Test Loss: 0.9191
Epoch: 25 | Training Loss: 0.8946 | Validation Loss: 0.9156 | Test Loss: 0.9195
Epoch: 26 | Training Loss: 0.8943 | Validation Loss: 0.9155 | Test Loss: 0.9195
Epoch: 27 | Training Loss: 0.8940 | Validation Loss: 0.9157 | Test Loss: 0.9197
Epoch: 28 | Training Loss: 0.8936 | Validation Loss: 0.9160 | Test Loss: 0.9200
Epoch: 29 | Training Loss: 0.8932 | Validation Loss: 0.9160 | Test Loss: 0.9200
Epoch: 30 | Training Loss: 0.8930 | Validation Loss: 0.9165 | Test Loss: 0.9205
Epoch: 31 | Training Loss: 0.8928 | Validation Loss: 0.9159 | Test Loss: 0.9198
Epoch: 32 | Training Loss: 0.8924 | Validation Loss: 0.9159 | Test Loss: 0.9201
Epoch: 33 | Training Loss: 0.8922 | Validation Loss: 0.9166 | Test Loss: 0.9206
Epoch: 34 | Training Loss: 0.8920 | Validation Loss: 0.9166 | Test Loss: 0.9205
Epoch: 35 | Training Loss: 0.8918 | Validation Loss: 0.9175 | Test Loss: 0.9213
Epoch: 36 | Training Loss: 0.8916 | Validation Loss: 0.9164 | Test Loss: 0.9205
Early stop at epoch 36. Best model from epoch 16
